@Relation RenaultDataSet

@Attribute Model	{Megane,Clio,Laguna,Scenic,Modus,Kangoo,Grand,Twingo,Espace,Vel,Koleos,Fluence,Captur,Express,Fuego,Latitude,Nevada,Rapid,Safrane,Thalia}
@Attribute Kilometres		NUMERIC
@Attribute Price			NUMERIC
@Attribute Year 			NUMERIC 
@Attribute HorsePower		NUMERIC
@Attribute Fuel			    NUMERIC
@Attribute AirCondition	    NUMERIC
@Attribute NumOfDoors		NUMERIC
@Attribute Gear			    NUMERIC

@Data
Laguna,323000,1200,1995,83,0,0,1,0
Laguna,188000,4000,2005,81,0,0,1,0
Laguna,162827,3500,2004,88,1,0,1,0
Megane,288000,1630,2002,88,0,0,0,0
Clio,177000,1690,2002,72,1,1,0,0
Clio,110000,2800,2007,43,0,0,0,0
Scenic,172000,1000,2002,60,0,1,1,0
Twingo,183789,1400,2001,44,0,0,0,0
Espace,258068,780,1999,81,0,1,1,0
Espace,305000,3300,2004,88,0,0,1,0
Megane,67000,5700,2009,66,0,0,1,0
Kangoo,14800,3650,2003,48,0,1,1,0
Clio,170000,3200,2005,55,0,0,1,0
Laguna,200000,650,1998,102,0,0,1,0
Scenic,202000,3099,2004,60,1,1,1,0
Espace,270,2750,2000,103,0,1,1,0
Laguna,182000,1950,2001,88,0,0,1,0
Clio,150000,2200,2001,50,0,0,1,0
Grand,190000,4300,2004,110,1,0,1,0
Megane,146000,4399,2007,78,1,0,1,0
Kangoo,245600,1650,2002,55,1,0,0,0
Scenic,179000,2990,2004,74,1,1,1,0
Clio,172274,1550,2000,42,0,0,1,0
Clio,152450,900,1991,51,1,0,0,0
Scenic,117000,3300,2002,79,0,0,1,0
Clio,109000,5700,2010,63,0,0,1,0
Scenic,187200,2590,2002,75,0,1,1,0
Scenic,219000,3050,2004,88,0,1,1,0
Clio,187000,1850,2001,72,1,0,1,0
Clio,151000,2450,2002,48,0,0,1,0
Clio,188,1650,2003,55,0,0,0,0
Megane,147000,2850,2004,88,0,0,1,0
Scenic,185,3350,2003,88,0,0,1,0
Laguna,255000,1350,1998,68,1,0,1,0
Megane,192740,9450,2012,81,0,0,1,0
Scenic,177181,9250,2011,81,0,1,1,1
Scenic,161318,3000,2001,102,0,0,1,0
Clio,155000,1950,2003,48,1,0,0,0
Megane,202000,3199,2004,74,0,1,1,0
Clio,182000,1730,2002,60,0,1,0,0
Megane,190000,1650,2003,77,0,0,1,0
Espace,207500,5500,2006,85,1,0,1,0
Clio,158800,3500,2007,50,1,0,0,0
Twingo,165700,1400,2002,55,1,1,0,0
Megane,10000,700,1997,35,0,0,1,0
Megane,212000,2550,2003,88,1,1,1,0
Clio,170000,2000,2002,60,0,0,0,0
Scenic,167000,2490,2002,79,1,1,1,0
Scenic,112300,2450,2001,79,0,0,1,0
Megane,202000,1990,2001,59,0,0,1,0
Megane,138600,2599,2003,83,0,0,0,0
Clio,176451,1380,2000,43,1,0,0,0
Megane,189000,2100,2002,59,0,0,1,0
Clio,168000,2000,2001,55,1,0,1,0
Scenic,157000,2150,2002,75,1,0,1,0
Laguna,200000,2500,2002,88,0,1,1,0
Espace,220000,3350,2003,65,1,0,1,0
Megane,157000,5999,2007,96,0,1,0,0
Clio,1,1000,1997,44,0,0,0,0
Clio,170000,2350,2003,59,1,0,1,0
Scenic,293000,1800,2002,75,1,0,1,0
Megane,190000,1650,1998,66,0,0,1,0
Kangoo,91000,3500,2005,62,0,1,1,0
Laguna,216000,2150,2002,79,1,1,1,0
Megane,186500,2499,2004,88,1,1,1,0
Megane,211000,3900,2006,78,1,0,1,0
Scenic,148000,2250,2003,79,1,1,1,0
Clio,210000,2500,2004,55,0,0,0,0
Scenic,141000,6600,2009,63,1,0,1,0
Megane,180000,3150,2003,88,0,1,1,0
Scenic,210,2650,2002,75,0,1,1,0
Laguna,200300,2100,1999,90,0,1,1,0
Scenic,178000,2150,2002,79,1,1,1,0
Twingo,128000,1699,2001,44,1,1,0,0
Megane,137000,6200,2010,66,0,0,1,0
Twingo,187000,1400,2002,45,0,0,0,0
Scenic,186000,3150,2004,88,1,1,1,0
Clio,188300,1250,1998,55,0,1,1,0
Megane,179000,1799,2003,88,0,1,0,0
Clio,167350,4000,2006,63,0,1,1,0
Megane,181300,3100,2005,88,1,0,1,0
Laguna,198957,1990,2002,103,1,1,1,0
Clio,190121,2200,2003,48,0,1,0,0
Clio,90000,2400,2003,55,0,1,0,0
Megane,147000,3100,2003,75,0,0,0,0
Laguna,226500,1990,2001,79,0,0,1,0
Espace,187000,900,1997,83,0,0,1,0
Megane,165000,2990,2004,88,0,1,1,0
Megane,131000,2650,2004,88,0,0,1,0
Scenic,219000,3350,2004,74,1,0,1,0
Megane,1,1590,2003,83,0,0,0,0
Megane,169000,2750,2004,83,0,0,1,0
Clio,132000,4700,2011,55,0,0,0,0
Clio,160220,2150,2002,43,1,0,1,0
Megane,197,3000,2004,74,0,0,1,0
Clio,190000,750,2001,12,0,1,0,0
Clio,84000,4200,2006,72,0,1,1,0
Modus,121000,3200,2005,55,1,0,1,0
Clio,160900,2400,2002,60,0,1,1,0
Megane,216000,3950,2006,78,0,0,1,1
Megane,146000,1650,1998,55,0,0,1,0
Megane,164568,2450,2003,83,0,0,0,0
Espace,215000,1650,1991,79,0,1,1,0
Scenic,175027,3199,2002,75,0,0,1,0
Clio,150000,2050,2001,55,1,0,1,0
Espace,185000,3800,2003,110,1,1,1,0
Megane,178607,3799,2005,63,0,0,1,0
Megane,210000,2100,2002,79,0,1,1,0
Clio,145000,1999,2002,43,0,0,1,0
Megane,164000,3490,2005,74,1,1,1,0
Scenic,214100,2500,2001,76,1,0,1,0
Laguna,212000,2750,2001,88,0,0,1,0
Clio,156000,2300,2002,55,1,1,1,0
Megane,210,2599,2003,88,1,1,1,0
Grand,140000,3900,2004,88,0,1,1,0
Laguna,200000,2400,2003,88,0,1,1,0
Clio,160204,2199,2003,72,1,0,1,0
Scenic,206000,2450,2003,88,0,1,1,0
Espace,198000,3800,2004,85,0,1,1,0
Scenic,220000,3300,2003,88,0,0,1,0
Clio,190000,1000,1997,43,0,0,1,0
Clio,177000,2300,2002,48,1,1,1,0
Clio,200,1900,2004,48,0,0,0,0
Kangoo,150000,2200,2004,44,0,0,1,0
Clio,180120,2199,2002,48,0,0,0,0
Megane,226400,1700,1999,79,0,0,1,0
Megane,213700,1950,1999,47,1,1,1,0
Megane,191508,3500,2004,88,1,1,1,0
Laguna,265000,1350,1997,83,0,0,1,0
Laguna,164000,3400,2005,88,0,0,1,0
Scenic,190024,2900,2004,88,0,1,1,0
Megane,160000,3699,2006,96,0,1,1,0
Megane,204000,2450,2004,60,0,0,0,0
Clio,162101,2300,2002,55,0,0,0,0
Laguna,220000,600,1998,68,0,1,1,0
Clio,157892,2200,2002,48,0,0,1,0
Scenic,130000,2500,2003,60,0,1,1,0
Espace,170000,2950,2003,88,0,1,1,0
Scenic,182221,3000,2004,88,0,0,1,0
Laguna,162000,2400,2002,74,0,0,1,0
Clio,113000,4300,2007,50,0,0,1,0
Clio,150000,2200,2006,72,1,0,0,1
Megane,150000,2900,2006,60,1,0,1,0
Clio,175500,2000,2002,55,0,0,0,0
Megane,129000,5999,2009,81,1,1,1,0
Clio,171436,1900,2001,48,0,0,0,0
Scenic,188000,2450,2002,75,1,1,1,0
Clio,55000,6000,2011,55,0,0,1,0
Clio,136450,1250,2002,45,0,0,0,0
Kangoo,152451,2600,2003,60,0,0,1,0
Megane,201000,1300,1996,66,0,1,1,0
Twingo,149000,1190,1999,43,0,0,0,0
Clio,220000,1900,2003,43,0,1,0,0
Laguna,242000,2700,2003,81,1,1,1,0
Megane,153000,5900,2010,63,1,0,1,0
Clio,139454,1900,2002,55,1,0,1,0
Megane,145000,3590,2004,88,0,0,1,0
Scenic,189000,3950,2005,88,1,0,1,0
Scenic,189000,2400,2002,75,0,1,1,0
Modus,150028,3699,2007,63,0,0,1,0
Megane,163916,6550,2010,66,0,0,1,0
Clio,140000,4950,2008,74,0,0,1,0
Clio,219000,1000,1996,47,1,0,0,0
Clio,174000,2099,2003,48,0,0,0,0
Scenic,174000,2550,2002,75,1,0,1,0
Scenic,155600,4500,2006,77,0,0,1,0
Scenic,92208,2250,2001,79,1,0,1,0
Clio,179492,2499,2004,55,0,0,1,0
Megane,196000,2000,2003,79,0,1,1,0
Scenic,162000,5350,2009,78,0,0,1,0
Laguna,212945,3100,2002,88,1,0,1,0
Grand,152400,3499,2005,98,0,1,1,1
Kangoo,205000,2650,2005,50,0,1,0,0
Scenic,186000,2890,2003,88,0,1,1,0
Megane,166037,7500,2012,81,1,1,1,0
Scenic,128941,7300,2011,70,1,0,1,0
Espace,255000,900,1991,104,1,1,1,0
Laguna,200000,2500,2002,88,0,1,1,0
Megane,129,3300,2003,83,1,0,1,0
Espace,212000,3200,2002,102,0,1,1,0
Scenic,221000,1500,2000,75,1,0,1,0
Scenic,150000,3400,2005,88,0,0,1,0
Clio,178000,2390,2004,60,1,0,0,0
Espace,268000,2650,2001,103,1,1,1,0
Scenic,176000,3700,2001,75,0,0,1,0
Megane,221000,2800,2004,60,1,1,1,0
Scenic,166000,3450,2004,88,0,0,1,0
Clio,154000,1899,2002,55,1,0,1,0
Clio,300000,1250,2002,74,1,1,0,0
Laguna,218000,2500,2001,79,1,1,1,0
Clio,145987,1700,2001,44,0,0,0,0
Scenic,161120,2999,2004,88,1,0,1,0
Laguna,177000,2150,2001,79,0,1,1,0
Clio,156000,1600,2001,55,1,1,0,0
Clio,186700,2200,2002,48,0,0,1,0
Megane,198760,3450,2005,83,0,1,1,0
Modus,125000,3500,2003,62,1,0,1,0
Scenic,180177,4300,2006,78,0,0,1,0
Megane,217000,3450,2004,88,0,0,1,0
Clio,162000,2000,2004,44,0,1,0,0
Laguna,220000,3200,2005,81,0,1,1,0
Megane,190000,2650,2003,60,0,1,1,0
Laguna,180000,2400,2001,85,0,1,1,0
Laguna,190000,1750,2002,77,1,0,1,0
Thalia,65000,4800,2010,72,1,1,1,0
Twingo,170000,1400,2002,43,0,0,0,0
Megane,231000,2000,2002,75,0,1,1,0
Clio,140000,3850,2007,55,0,1,1,0
Megane,201965,3500,2008,63,0,1,1,0
Kangoo,167000,7000,2011,66,1,1,1,0
Megane,195970,3150,2003,83,0,1,1,0
Scenic,181000,2150,2001,75,0,1,1,0
Laguna,185000,2490,2004,99,0,0,1,0
Clio,171000,2100,2001,43,0,1,0,0
Laguna,238413,2550,2003,79,1,0,1,0
Megane,230000,1400,1999,72,0,0,1,0
Clio,103000,2199,2002,43,1,1,1,0
Megane,221000,2750,2004,74,0,0,1,0
Twingo,258350,1950,2001,55,1,1,0,0
Grand,166200,3800,2005,88,0,0,1,0
Megane,153000,3300,2004,74,0,0,1,0
Megane,147,4850,2005,99,0,1,0,0
Megane,212000,3499,2005,96,0,1,1,0
Scenic,23223,2000,2002,75,1,1,1,0
Megane,215000,2600,2005,88,0,0,1,0
Clio,131000,2900,2005,55,1,0,1,0
Twingo,135000,1899,2002,43,1,0,0,0
Safrane,255555,600,1997,121,0,1,1,0
Scenic,200000,3000,2004,88,1,0,1,0
Laguna,242000,1980,2001,88,0,1,1,0
Clio,238624,2350,2001,72,1,0,1,0
Clio,151015,2450,2004,60,0,1,0,0
Megane,177000,2250,2002,79,0,0,1,0
Clio,103276,2650,2007,43,1,1,0,0
Clio,153000,1400,2002,48,1,0,0,0
Clio,138602,2850,2006,43,0,1,0,0
Clio,1360000,1900,2001,72,1,0,0,0
Megane,236000,2300,2002,78,0,0,1,0
Laguna,155000,4350,2007,82,0,1,1,0
Clio,133000,2200,2002,44,0,0,1,0
Twingo,146000,1300,1998,43,0,0,0,0
Megane,139000,2950,2003,83,0,0,0,0
Clio,2053020,3200,2003,55,0,0,0,0
Scenic,262000,2900,2003,88,0,0,1,0
Twingo,63300,3700,2009,43,0,0,0,0
Scenic,177811,4100,2005,88,0,1,1,0
Laguna,144000,3500,2007,100,0,0,1,0
Clio,150000,1650,2001,55,0,0,0,0
Megane,320000,2700,2004,74,0,0,1,0
Megane,186000,1200,1996,66,0,0,1,0
Megane,190000,3500,2007,78,0,0,1,0
Scenic,180000,3000,2005,88,1,0,1,0
Megane,207000,3000,2003,60,0,0,1,0
Laguna,174850,2250,2002,74,0,0,1,0
Scenic,160000,799,2002,75,1,1,1,0
Laguna,168000,2750,2002,88,0,0,1,0
Scenic,167000,2250,2002,79,0,0,1,0
Clio,183000,1750,2002,55,0,0,0,0
Clio,133000,3800,2007,50,0,0,0,0
Megane,243000,3500,2006,63,0,1,1,0
Clio,131500,3300,2007,50,1,0,0,0
Megane,250000,1250,1998,44,1,1,1,0
Clio,174000,1000,1998,43,1,0,0,0
Scenic,235000,2250,2003,75,0,0,1,0
Laguna,164000,2650,2002,88,0,1,1,0
Scenic,166500,2350,2000,76,0,1,1,0
Megane,172465,2400,2004,76,0,0,0,0
Clio,187000,850,1998,43,0,1,1,0
Megane,201500,4700,2007,98,0,1,1,0
Scenic,180000,3200,2005,88,1,1,1,0
Espace,220500,3890,2004,100,1,0,1,0
Kangoo,180000,3350,2005,55,1,0,1,0
Clio,170000,2450,2004,60,1,1,1,0
Clio,165700,2290,2003,43,0,1,0,0
Megane,190000,1600,2002,75,0,0,1,0
Megane,193000,3300,2004,113,1,1,1,0
Megane,115000,2700,2003,72,1,0,0,0
Clio,171000,1600,1995,47,0,0,0,0
Scenic,230000,3650,2004,88,0,0,1,0
Clio,212000,2100,2002,48,0,1,0,0
Scenic,194056,2300,2001,79,1,0,1,0
Clio,17000,2000,2002,72,0,0,0,0
Laguna,179800,2450,2003,88,0,0,1,0
Megane,76000,7450,2011,74,1,1,1,0
Clio,150000,2000,2002,43,0,0,1,0
Megane,56542,17400,2011,195,0,1,0,0
Laguna,287601,1550,1998,62,0,1,1,0
Megane,186000,1800,1998,66,0,0,0,0
Clio,106000,1750,2001,44,1,1,0,0
Laguna,180000,1700,2002,88,1,1,1,0
Clio,99950,3390,2005,73,0,1,1,0
Laguna,270000,1900,2001,88,1,0,1,0
Kangoo,20,1900,2001,59,1,0,0,0
Laguna,161000,1999,2001,88,1,0,1,0
Megane,2,3250,2007,63,1,0,0,0
Clio,168000,1500,2001,44,0,1,1,0
Laguna,190000,1690,2003,87,0,0,1,1
Clio,115000,2850,2005,48,1,0,1,0
Laguna,210000,2600,2003,120,1,0,1,0
Clio,117500,2540,2002,55,0,1,1,0
Megane,216600,3200,2004,60,0,0,1,0
Megane,248000,1550,1998,57,1,1,1,0
Grand,158770,3450,2004,88,1,1,1,0
Clio,190000,4100,2007,63,1,1,1,0
Captur,9999,14999,2014,66,0,1,1,0
Clio,165000,2299,2002,55,0,0,1,0
Scenic,151677,3200,2005,88,1,1,1,0
Clio,160000,2590,2003,60,0,1,1,0
Scenic,153000,4100,2005,74,0,1,1,0
Clio,231000,2250,2002,60,0,1,1,0
Clio,149000,1900,2003,48,1,1,0,0
Clio,135000,2100,2002,60,1,1,1,0
Scenic,153800,6950,2010,63,1,0,1,0
Laguna,171276,2799,2004,74,0,1,1,0
Scenic,180000,390,2001,75,0,0,1,0
Scenic,152000,2150,2001,74,0,1,1,0
Scenic,171000,4100,2004,88,1,0,1,0
Laguna,197000,2750,2002,88,0,0,1,0
Megane,145000,2930,2004,83,0,0,1,0
Megane,151000,3499,2004,88,1,1,1,0
Clio,147000,2499,2003,48,0,0,1,0
Laguna,199220,2700,2002,88,0,1,1,0
Latitude,30000,18500,2011,129,0,0,1,0
Scenic,108000,7500,2012,70,0,0,1,0
Scenic,115337,3600,2001,75,1,0,1,0
Clio,105000,2050,2002,44,0,0,0,0
Modus,98000,4100,2006,82,1,0,1,0
Clio,167000,4200,2005,72,0,1,1,0
Modus,192000,3299,2006,55,0,0,1,0
Modus,70000,6900,2012,55,0,1,1,0
Kangoo,185182,2999,2004,60,1,1,1,0
Megane,155160,2550,2003,60,1,0,1,0
Twingo,149610,3700,2010,47,0,1,0,0
Megane,132407,2950,2004,88,1,1,1,0
Kangoo,67000,3000,2003,55,1,1,1,0
Espace,193983,4700,2005,85,0,0,1,0
Clio,104997,2350,2001,43,1,0,1,0
Twingo,172411,1850,2002,43,0,0,0,0
Scenic,167625,2850,2000,79,0,0,1,0
Clio,224074,2100,2002,43,0,1,0,0
Scenic,163852,2750,2001,79,1,1,1,0
Clio,104997,2350,2001,43,1,0,1,0
Kangoo,116511,2600,2001,47,0,1,1,0
Scenic,211503,2850,2001,75,0,1,1,0
Kangoo,164000,6499,2009,63,0,0,1,0
Clio,139000,1950,2002,43,0,0,1,0
Scenic,132718,2099,2001,79,0,0,1,0
Scenic,157000,2690,2003,88,0,0,1,0
Laguna,159000,3450,2004,74,0,1,1,0
Megane,170000,3999,2007,78,0,1,0,0
Twingo,105000,1850,2002,43,0,0,0,0
Scenic,170800,2950,2003,60,1,0,1,0
Megane,166666,1520,2002,56,0,1,1,0
Grand,205000,7700,2010,96,0,0,1,0
Scenic,177700,4199,2006,82,0,0,1,0
Laguna,200000,2500,2001,88,1,0,1,0
Kangoo,214000,2400,2001,59,0,0,1,0
Megane,179000,3300,2004,88,0,1,1,0
Scenic,229000,3100,2004,88,0,1,1,0
Clio,220000,2100,2002,48,0,1,0,0
Laguna,210000,2500,2001,89,0,0,1,0
Scenic,148700,3350,2004,74,1,1,1,0
Twingo,112000,1700,2001,43,0,0,0,0
Laguna,1,600,1995,66,0,1,1,0
Laguna,253629,2000,2002,74,0,1,1,0
Clio,164000,1100,1998,66,0,0,0,0
Laguna,200000,2150,2001,85,1,1,1,0
Espace,220000,3000,2001,103,0,1,1,0
Twingo,160000,1700,2002,43,0,0,0,0
Megane,155280,2950,2003,88,0,0,1,0
Scenic,117000,2950,2003,88,0,1,1,0
Megane,216800,3000,2004,88,1,0,1,0
Twingo,200000,1350,2001,45,0,0,0,0
Clio,181000,600,2000,55,0,0,1,0
Laguna,182000,2900,2003,88,0,0,1,0
Scenic,135000,3000,2003,88,0,0,1,0
Modus,117000,2850,2004,55,0,1,1,0
Clio,230000,2300,2002,72,0,0,1,0
Megane,170450,5000,2005,88,0,0,0,0
Megane,124600,2800,2002,81,0,0,0,0
Clio,161000,2500,2004,48,1,0,0,0
Clio,450000,1300,2003,48,1,1,0,0
Laguna,190000,2400,2001,88,0,0,1,0
Clio,184068,2350,2002,55,1,1,1,0
Twingo,188500,1400,2002,43,0,0,0,0
Laguna,200000,900,1995,69,1,1,1,0
Megane,180,2500,2004,60,0,1,0,0
Laguna,179000,2499,2001,79,1,1,1,0
Kangoo,269000,1300,2000,60,0,0,1,0
Scenic,170000,2850,2005,88,0,0,1,0
Laguna,14700,2700,2001,88,1,0,1,0
Clio,188000,1890,2002,44,0,0,0,0
Clio,240905,2300,2002,48,0,0,0,0
Laguna,229008,1650,1998,66,1,0,1,0
Megane,220000,2620,2003,80,0,0,1,0
Megane,195000,1999,2002,79,0,1,1,0
Laguna,199000,2400,2003,88,0,0,1,0
Laguna,94000,11000,2010,110,0,1,0,0
Grand,223000,2600,2002,95,0,0,1,0
Megane,164000,2350,2002,59,1,1,1,0
Vel,220000,2950,2002,125,1,0,1,0
Laguna,150000,2650,2002,88,1,0,1,0
Megane,188700,1940,2002,59,1,0,1,0
Clio,111,690,1992,55,0,0,0,0
Scenic,219730,2700,2002,85,0,0,1,0
Scenic,215000,2450,2003,75,0,0,1,0
Laguna,178300,2499,2003,88,0,0,1,0
Espace,37000,2500,2001,110,1,0,1,0
Megane,246189,1150,2003,72,1,1,0,0
Scenic,210000,2390,2001,79,0,1,1,0
Scenic,200000,1400,2002,79,0,0,1,0
Scenic,190000,3300,2005,88,0,0,1,0
Clio,210000,400,2000,43,0,1,0,0
Clio,127803,2150,2002,43,0,0,1,0
Clio,150000,1600,2000,47,0,1,0,0
Clio,94000,2300,2003,44,0,1,1,0
Scenic,137000,3099,2006,88,0,1,1,0
Laguna,235000,2800,2003,88,0,1,1,0
Megane,199000,3000,2004,60,0,0,0,0
Laguna,149000,1899,2005,88,0,1,1,0
Twingo,275642,1850,2001,40,0,0,0,0
Clio,200000,1800,2001,43,0,1,0,0
Megane,161775,2700,2004,88,0,0,1,0
Laguna,255000,1490,2003,88,0,0,1,0
Grand,172000,3900,2004,88,1,1,1,0
Megane,220000,2850,2004,88,1,0,1,0
Laguna,156000,3500,2003,88,1,0,1,0
Clio,230,850,1992,34,0,0,0,0
Laguna,194000,2500,2001,81,1,0,1,0
Clio,277000,2150,2002,60,0,1,1,0
Scenic,175000,3150,2004,74,1,0,1,0
Scenic,118800,2700,2004,60,0,0,1,0
Laguna,282000,2300,2001,88,0,1,1,0
Scenic,194123,2599,2004,85,1,1,1,0
Laguna,240000,1200,1996,61,0,1,1,0
Modus,160000,3400,2006,55,0,1,1,0
Kangoo,309000,2750,2003,74,0,0,1,0
Fluence,189,7000,2011,81,0,0,1,0
Megane,141700,5000,2007,96,0,1,0,0
Megane,179000,1900,2002,70,0,0,1,0
Scenic,192000,2550,2002,77,0,0,1,0
Scenic,179000,4250,2007,76,1,1,1,0
Kangoo,140000,2250,2002,44,0,0,1,0
Kangoo,240000,2400,2001,59,0,1,1,0
Megane,131000,2290,2001,75,0,1,1,0
Scenic,181211,3600,2004,88,0,0,1,0
Twingo,250000,1200,1997,40,0,0,0,0
Clio,165733,2800,2004,48,0,0,1,0
Laguna,184000,1950,2003,99,0,0,1,0
Megane,200000,1250,1997,55,0,1,1,0
Clio,130000,5350,2012,55,0,1,0,0
Clio,144000,2400,2003,51,0,0,1,0
Megane,258000,2900,2004,66,0,0,0,0
Scenic,169000,3500,2003,79,0,0,1,0
Megane,234300,1499,2003,74,0,1,1,1
Megane,161000,6999,2012,81,0,1,1,0
Megane,164000,3199,2003,88,0,0,1,0
Grand,153000,4500,2004,88,1,1,1,0
Laguna,111000,2300,2001,74,0,1,1,0
Laguna,165000,2300,2001,88,0,0,1,0
Clio,114000,4100,2006,55,0,1,1,0
Scenic,81000,3590,2004,74,0,1,1,0
Laguna,165700,2800,2002,88,0,0,1,0
Scenic,154800,2700,2002,77,0,0,1,0
Kangoo,166000,3600,2004,60,0,1,1,0
Clio,269000,1300,2005,55,1,1,1,0
Scenic,160000,2390,2002,79,1,1,1,0
Grand,159930,8900,2010,96,0,1,1,0
Clio,124000,2650,2003,55,1,0,1,1
Kangoo,182000,2500,2002,47,1,0,1,0
Clio,170000,4300,2004,132,1,0,0,0
Kangoo,193000,2350,2002,1,1,0,1,0
Twingo,142000,1800,2001,43,0,1,0,0
Megane,200000,1600,2003,80,0,1,1,0
Scenic,203050,2150,2001,79,1,1,1,1
Laguna,197000,3850,2006,92,0,1,1,0
Laguna,119000,2990,2004,88,0,0,1,0
Clio,104645,4400,2006,72,0,1,1,0
Kangoo,166000,2590,2002,48,1,0,1,0
Modus,180000,2990,2005,50,0,0,1,0
Scenic,125224,2999,2003,83,0,1,1,0
Megane,172000,2399,2003,60,0,1,0,0
Laguna,169000,6900,2008,110,0,0,1,0
Clio,196000,2250,2002,50,0,1,0,0
Fluence,55000,8999,2010,81,0,0,1,0
Megane,250200,1700,2001,75,0,1,1,0
Scenic,180000,1800,2002,75,0,0,1,0
Clio,225000,2000,2005,43,1,0,0,0
Clio,173000,2000,2001,49,1,0,0,0
Kangoo,180000,2490,2002,69,1,1,1,0
Scenic,57000,3700,2005,83,0,1,1,0
Scenic,193400,2899,2004,88,0,0,1,0
Clio,186000,1550,2002,48,1,0,0,0
Twingo,190000,1100,1996,35,0,1,0,0
Clio,167000,2400,2003,60,1,0,1,0
Scenic,295000,2450,2001,75,0,0,1,0
Clio,98000,5490,2010,55,0,0,1,0
Clio,151170,1850,2001,55,1,1,1,0
Megane,151000,6650,2011,66,1,1,1,0
Megane,165090,4350,2007,63,0,1,1,0
Clio,190650,2650,2002,79,1,0,1,0
Megane,171585,2690,2003,60,0,0,1,0
Clio,152348,2300,2003,53,0,0,0,0
Clio,100,1000,2003,48,0,0,0,0
Megane,165000,2490,2004,88,1,0,1,0
Megane,200000,3200,2003,74,0,0,0,0
Megane,153000,2600,2004,75,1,0,1,0
Megane,160000,4300,2006,96,0,1,1,0
Clio,162,2150,2002,60,0,1,1,0
Laguna,143600,3600,2003,88,1,1,1,0
Megane,200000,2499,2003,96,0,0,1,0
Megane,194000,3800,2004,88,1,0,1,0
Twingo,105000,1750,2001,43,1,0,0,0
Scenic,146000,4090,2004,60,0,1,1,0
Laguna,164000,2700,2003,88,0,0,1,0
Laguna,167000,3250,2006,96,1,1,1,0
Clio,137000,1950,2004,43,0,1,0,0
Megane,200000,1350,1998,66,1,1,1,0
Megane,140677,1899,2001,74,0,1,1,0
Megane,157200,2250,2002,79,1,0,1,1
Scenic,149780,2300,2001,75,1,0,1,0
Megane,160000,2900,2006,60,0,0,1,0
Clio,150000,1650,2002,55,1,0,1,0
Megane,218300,1700,2001,75,0,1,1,0
Modus,116000,3240,2004,72,0,1,1,0
Megane,200000,1750,2003,66,0,0,1,0
Megane,172000,2700,2003,88,0,0,1,0
Twingo,144000,1900,2002,55,0,1,0,1
Scenic,111,2750,2004,88,1,0,1,0
Megane,170000,1850,2001,75,1,1,0,0
Grand,312000,2850,2001,95,1,0,1,0
Laguna,280000,2100,2001,79,1,1,1,0
Megane,212000,2099,2002,75,1,0,1,0
Laguna,207000,2500,2001,88,1,0,1,0
Megane,185500,3000,2006,96,0,1,1,0
Clio,183000,1999,2003,43,1,0,0,0
Clio,84397,2100,2001,55,1,0,1,0
Scenic,178000,7000,2009,63,0,0,1,0
Megane,168257,2800,2004,60,0,0,1,0
Megane,255400,1499,2001,74,1,0,1,0
Clio,220123,1350,2005,44,1,1,0,0
Laguna,223000,4250,2006,110,0,0,1,0
Laguna,167000,9950,2012,131,0,0,1,0
Megane,192000,3099,2003,88,0,0,1,0
Clio,250000,1650,2002,48,0,0,0,0
Clio,30000,1700,2002,48,0,0,0,0
Megane,158000,6350,2010,63,1,0,1,0
Megane,220000,3200,2004,88,0,1,1,0
Laguna,210000,2350,2002,79,1,0,1,0
Scenic,136276,3750,2005,88,0,1,1,0
Laguna,126,4245,2007,96,0,0,1,0
Megane,75217,6850,2009,63,0,1,1,0
Laguna,218650,1900,2002,88,1,0,1,0
Scenic,178000,3100,2004,88,0,1,1,0
Scenic,180000,3190,2004,88,0,0,1,0
Clio,150000,1800,2002,43,0,1,1,0
Megane,169800,3299,2005,88,0,0,0,0
Laguna,115759,7700,2010,82,1,1,1,0
Laguna,171099,3000,2004,88,0,0,1,0
Clio,200000,2200,2001,60,0,1,1,0
Scenic,142837,2199,2002,75,0,0,1,0
Scenic,140565,2790,2005,88,1,0,1,0
Scenic,208000,2900,2005,88,0,1,1,0
Clio,127000,2350,2003,43,0,1,0,0
Scenic,179000,1876,1998,66,0,1,1,0
Laguna,122000,2750,2001,79,0,0,1,0
Clio,124500,2300,2003,55,1,0,1,0
Laguna,190000,3200,2003,88,1,1,1,0
Twingo,100000,1800,2005,32,0,0,1,0
Scenic,177000,2380,2002,79,0,0,1,0
Clio,150000,1750,2001,48,0,0,1,0
Grand,182000,2950,2004,88,0,0,1,0
Espace,345227,1450,1992,79,0,0,1,0
Safrane,235000,1050,1996,97,0,1,1,0
Laguna,296805,1700,2002,74,0,1,1,0
Megane,152000,2790,2004,84,0,1,1,0
Vel,101278,13200,2007,110,0,1,1,0
Laguna,190000,1199,2005,79,0,1,1,0
Laguna,200000,2700,2004,88,0,1,1,0
Megane,135000,1650,2001,85,1,1,1,0
Scenic,108047,2790,2001,75,0,0,1,0
Espace,215000,3750,2004,85,0,0,1,0
Megane,165000,3000,2003,88,1,0,1,0
Espace,173528,2800,2001,90,0,0,1,0
Megane,171000,3200,2003,88,0,0,1,0
Scenic,158000,2950,2004,88,1,1,1,0
